,product_code,product_name,brand,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nova-group,nutrition-score-fr,fruits-vegetables-nuts-estimate-from-ingredients_100g,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
318,3175680011534,Biscuit lait chocolat,"Gerblé,Gerblé Vitalité,Nutrition & Santé",457.0,1919.0,65.0,21.0,17.0,2.8,8.5,5.0,0.74,0.296,4.0,14.0,13.7,0.3230769230769231,Moderate,Moderate Sugar,Yes
319,6111028000980,Kiri carré 8p,Kiri,230.0,950.0,3.5,2.0,20.0,13.0,9.0,2.4,1.6,0.64,4.0,18.0,0.0,0.5714285714285714,Low,Low Sugar,Yes
320,6111266960336,Perly fromage,perly,262.0,1096.208,6.0,0.0,22.0,15.2,10.0,0.0,1.6,0.64,4.0,16.0,0.0,0.0,Low,Low Sugar,Yes
321,5201054017418,Fage Total 0% Yogurt,Fage,54.0,225.936,3.0,3.0,0.0,0.0,10.3,2.4,0.0975,0.039,1.0,-4.0,0.0,1.0,Low,Low Sugar,No
322,3229820782560,"Muesli SuperFruits Raisins, cassis,cranberry, myrtille",Bjorg,358.0,1497.872,60.0,13.0,6.0,0.9,11.0,10.0,0.04,0.016,3.0,-2.0,21.8,0.21666666666666667,Moderate,Moderate Sugar,No
323,90338243,Coca-Cola original taste,maroc,42.0,180.0,10.6,10.6,6.0,1.4,5.6,2.4,0.3675,0.147,4.0,7.0,0.0,1.0,Low,Moderate Sugar,Yes
324,1318180,MULTISEED WHOLEMEAL FARMHOUSE LOAF,Sainsbury's taste the difference,270.0,1136.0,34.2,4.2,7.5,1.1,12.8,7.4,0.84,0.336,4.0,0.0,0.405000000000001,0.12280701754385964,Low,Low Sugar,Yes
325,3229820021027,P'tit Nature Complet,Bjorg,416.0,1750.0,70.0,20.0,10.0,0.8,7.6,7.6,0.45,0.18,4.0,7.0,4.97142857142858,0.2857142857142857,Moderate,Moderate Sugar,Yes
326,6111099000247,Hule D'olive,زيت الزيتون واد سوس,822.0,4.0,0.0,0.0,90.0,13.0,0.0,66.0,0.0,0.0,4.0,-5.0,0.0,0.0,High,Low Sugar,Yes
327,7394376616501,Haferdrink Barista,Oatly,61.0,257.0,7.1,3.4,3.0,0.3,1.1,0.8,0.1,0.04,3.0,7.0,5.0,0.47887323943661975,Low,Low Sugar,No
328,6111162000723,Délicia - Confiture d'abricot,Delicia,272.0,1138.048,67.36,4.1,0.12,1.4,0.41,2.4,0.3675,0.147,3.0,7.0,66.6666666666667,0.06086698337292161,Low,Low Sugar,No
329,3155251205302,Tartine doux,Primevère,495.0,2033.0,0.0,0.0,55.0,15.0,0.0,2.4,0.4,0.16,4.0,8.0,25.0,0.0,Moderate,Low Sugar,Yes
332,3159470000120,Corn Flakes,Kellogg's,378.0,1604.0,84.0,8.0,0.9,0.2,7.0,3.0,1.1,0.44,3.0,11.0,0.0,0.09523809523809523,Moderate,Low Sugar,No
333,3175681105423,Cookie🍪 cacao pépites Sans Sucre,Gerblé,414.0,1728.0,61.0,0.0,18.0,3.3,8.0,8.9,0.21,0.084,4.0,1.0,16.4,0.0,Moderate,Low Sugar,Yes
334,3366321051983,Oméga 3® Doux,"St Hubert, St hubert omega 3",468.0,1924.0,0.0,0.0,52.0,17.0,0.0,2.4,0.4125,0.165,4.0,11.0,36.9666666666667,0.0,Moderate,Low Sugar,Yes
335,6111032002925,Yaourt Nature,Danone,66.2,280.0,6.7,6.7,3.0,2.0,3.0,2.4,0.34125,0.1365,4.0,2.0,0.0,1.0,Low,Low Sugar,Yes
336,5053990161669,Картофельные чипсы со вкусом парики,Pringles,522.0,2184.0480000000002,54.0,3.2,30.0,2.8,6.7,4.4,1.2775,0.511,4.0,12.0,0.0,0.05925925925925926,High,Low Sugar,Yes
337,3046920010047,Excellence Noir Corsé 78% Cacao,Lindt,114.0057361197,476.9999999248248,4.8,3.4,9.2,5.8,2.0,2.4,0.0075,0.003,3.0,21.0,0.0,0.7083333333333334,Low,Low Sugar,No
338,3228857001378,Brioche moins de sucre,Harrys,327.0,1354.0,45.1,9.3,11.0,1.1,8.4,7.2,1.0,0.4,4.0,7.0,8.859375,0.20620842572062084,Moderate,Low Sugar,Yes
339,5025125000105,No. 6 Sourdough Majestic Malted,Jason's,255.0,1066.92,47.0,1.8,2.7,0.8,9.3,3.6,0.99,0.396,3.0,3.0,0.0,0.03829787234042553,Low,Low Sugar,No
