,product_code,product_name,brand,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nova-group,nutrition-score-fr,fruits-vegetables-nuts-estimate-from-ingredients_100g,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
4318,5057545928783,Tesco Finest Oat And Barley Loaf 800G,Tesco,113.0,472.79200000000003,21.1,1.3,1.0,0.2,4.0,1.8,0.352,0.1408,4.0,2.0,0.0,0.061611374407582936,Low,Low Sugar,Yes
4319,3580281080108,Muesli crunchy,MUESLI CRUNCHY,457.0,1916.0,62.0,22.0,18.0,5.5,9.1,6.4,0.14,0.056,4.0,12.0,0.0,0.3548387096774194,Moderate,Moderate Sugar,Yes
4320,5014276701115,Unpasteurised Miso Paste,"yutaka, tazaki foods",176.0,736.384,15.7,5.6,6.7,1.0,10.8,4.9,11.9,4.76,3.0,21.0,28.0,0.35668789808917195,Low,Low Sugar,No
4321,8714100536148,Colman's Tartar Sauce,Colmans,297.0,1257.0,17.0,15.0,25.0,2.1,1.0,2.4,3.3,1.32,4.0,25.0,33.0,0.8823529411764706,Low,Moderate Sugar,Yes
4322,5060088703885,Raw Fruit & Nut Bars - Bakewell Tart,nākd,139.3,582.8312000000001,18.2,15.4,5.5,1.015,2.765,2.695,0.01,0.004,4.0,11.0,100.0,0.8461538461538463,Low,Moderate Sugar,Yes
4323,4056489039532,Petits pains grillés au froment,Maître Jean Pierre,407.0,1719.0,73.0,8.6,7.8,0.7,9.5,3.5,1.0,0.4,4.0,10.0,1.875,0.1178082191780822,Moderate,Low Sugar,Yes
4324,5060292308708,Sour Cream & Onion Potato Chips,Popchips,432.0,1807.488,69.0,4.4,13.0,1.7,6.7,4.8,1.0825,0.433,4.0,10.0,0.345938546316965,0.063768115942029,Moderate,Low Sugar,Yes
4326,5711953103766,Buko - Der Sahnige Frischkäse,"Arla, Buko",252.0,1030.0,3.0,3.0,25.0,16.0,4.5,0.0,0.8,0.32,3.0,15.0,0.0,1.0,Low,Low Sugar,No
4328,3322680010801,8 Crêpes Chocolat,Whaou,149.0,624.0,19.0,12.0,7.0,1.8,2.1,0.8,0.21,0.084,4.0,24.0,4.0,0.631578947368421,Low,Moderate Sugar,Yes
4329,4002359012839,Nouilles aux oeufs,Suzi Wan,162.0,677.808,31.0,1.0,1.4,0.3,5.7,1.6,0.34,0.136,3.0,1.0,0.0,0.03225806451612903,Low,Low Sugar,No
4330,6111242881716,Le yaourt nature,RAFII,78.0,326.35200000000003,8.0,0.0,3.2999999523163,2.0999999046326,4.1999998092651,2.4,0.0,0.0,4.0,1.0,0.25,0.0,Low,Low Sugar,Yes
4331,5054070479155,6 Wholemeal Pittas,Asda,241.0,1016.0,42.0,2.8,1.2,0.2,10.0,9.7,0.58,0.232,3.0,-4.0,0.0,0.06666666666666667,Low,Low Sugar,No
4332,4088600226736,Savoury Crackers,Savour Bakes,166.071428571429,694.842857142859,24.0357142857143,2.821,6.42857142857143,0.5,2.71428571428571,0.75,0.314285,0.125714,4.0,12.0,0.0,0.11736701337295685,Low,Low Sugar,Yes
4333,7622201430498,Clorets,Clorets,306.0,1280.304,76.0,75.0,0.0,0.0,0.1,0.0,0.02,0.008,4.0,7.0,0.0,0.9868421052631579,Moderate,High Sugar,Yes
4334,3497917002789,Chips saveur beurre salé,Brets,522.0,2177.0,53.0,1.0,31.0,2.6,6.3,4.8,1.5,0.6,4.0,13.0,0.0,0.018867924528301886,High,Low Sugar,Yes
4335,5000328270548,Ready Salted Grab Bag Crisps,Walkers,233.0,973.0,24.0,0.2,14.0,1.1,2.9,1.8,0.6,0.24,3.0,13.0,6.5825,0.008333333333333333,Low,Low Sugar,No
4336,3302740057052,Le moelleux,Fleury Michon,113.0,472.79200000000003,11.0,2.6,4.6,0.4,6.8,2.4,1.6,0.64,4.0,6.0,7.27380952380953,0.23636363636363636,Low,Low Sugar,Yes
4337,4056489494485,Eau st Antonin,saguaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.3675,0.147,1.0,0.0,0.25,0.0,Low,Low Sugar,No
4338,3560071427535,Pâte à tartiner saveur noisette,"Carrefour,Simpl",528.0,2208.0,67.0,66.0,28.0,6.5,2.2,1.7,0.1,0.04,4.0,27.0,24.0,0.9850746268656716,High,High Sugar,Yes
4339,7622201694777,Garlic & Herbs,Philadelphia,142.0,594.128,5.3,5.3,10.0,6.7,7.2,0.4,0.91,0.364,4.0,10.0,23.6111111111111,1.0,Low,Low Sugar,Yes
4340,5902884465874,Granola aux fruits,One Day More,395.0,1652.68,62.9,15.4,8.4,1.3,11.3,10.3,0.13,0.052,1.0,0.0,14.2,0.24483306836248014,Moderate,Moderate Sugar,No
4341,6111032009238,Yaourt brassé sans sucre,Danone,66.0,277.0,6.7,0.0,3.0,2.0,3.0,2.4,0.0,0.0,4.0,0.0,0.0,0.0,Low,Low Sugar,Yes
4342,6111032009474,Danao frz limon hh,Unknown,38.0,158.99200000000002,89.0,71.0,0.02,0.02,0.5,2.4,0.0,0.0,4.0,13.0,5.68181818181818,0.797752808988764,Low,High Sugar,Yes
4343,6194000521895,Choco Tom gaufrettes,Tom,234.0,519.0,57.6,37.05,28.96,16.07,7.12,9.45,815.0,326.0,4.0,21.0,0.0,0.6432291666666666,Low,High Sugar,Yes
4345,5056053308803,Chicken and Lentil with Butternut Squash,Yorkshire Provender,44.0,188.0,4.0,1.8,1.4,1.1,3.1,1.7,0.44,0.176,3.0,1.0,46.8863691749244,0.45,Low,Low Sugar,No
4346,8710532469535,100% peanut butter crunchy,millies,605.0,2507.0,12.2,5.9,47.7,6.4,27.2,9.2,0.0,0.0,1.0,-9.0,100.0,0.4836065573770492,High,Low Sugar,No
4347,5010477362735,Super Nutty Granola,Jordans,452.0,1891.1680000000001,56.1,15.2,18.2,2.1,12.7,6.7,0.03,0.012,4.0,7.0,18.125,0.2709447415329768,Moderate,Moderate Sugar,Yes
4348,7622201766375,Soft Bakes Blueberry,"Belvita,Mondelez",388.0,1623.392,63.0,21.0,12.0,1.1,5.4,7.5,0.315,0.126,4.0,7.0,36.919475,0.3333333333333333,Moderate,Moderate Sugar,Yes
4349,6111271590498,vamos,Yoplait,451.0,1886.9840000000002,70.6,43.2,14.6,7.2,4.5,2.4,0.3925,0.157,4.0,25.0,0.25,0.6118980169971673,Moderate,High Sugar,Yes
4350,20068516,Tomatoes - Cherry Tomatoes Italian,Italiamo,32.0,133.888,4.9,3.8,0.0,0.0,1.5,2.3,0.03,0.012,1.0,-4.0,99.95,0.7755102040816325,Low,Low Sugar,No
4351,20927455,Baked beans,Simply,92.0,388.0,13.5,5.3,0.7,0.2,4.6,6.2,0.5,0.2,4.0,-5.0,82.0,0.3925925925925926,Low,Low Sugar,Yes
4352,3019081238698,Conserverie Parmentier sardines,Conserverie Parmentier,229.0,955.0,0.0,0.0,15.0,3.0,23.5,0.0,1.2,0.48,3.0,2.0,0.0,0.0,Low,Low Sugar,No
4353,3038359001208,Pesto basilico,Panzani,328.0,1372.352,7.3,3.4,31.0,4.7,4.2,1.6,2.2625,0.905,4.0,17.0,63.22,0.4657534246575342,Moderate,Low Sugar,Yes
4354,3174660000896,Sucre Poudre,Béghin SayTereos,400.0,1673.6000000000001,100.0,100.0,0.0,0.0,0.0,2.4,0.0,0.0,2.0,19.0,0.0,1.0,Moderate,High Sugar,No
4355,3229820181417,Epeautre sans sucres ajoutés - Bio,Bjorg,58.0,245.0,11.0,4.1,1.2,0.2,0.8,2.4,0.1,0.04,3.0,8.0,0.0,0.3727272727272727,Low,Low Sugar,No
4356,3248832960025,Penne au saumon et crème d'épinards,Marie,135.0,565.0,16.0,1.4,4.7,1.4,6.6,0.9,0.6,0.24,3.0,2.0,16.8583333333333,0.0875,Low,Low Sugar,No
4357,3259011046300,CROQ'SOJA Curry et Pavot,Céréal Bio,182.0,761.488,6.6,1.9,10.0,1.8,14.0,4.9,1.1,0.44,3.0,1.0,14.5604365079365,0.2878787878787879,Low,Low Sugar,No
4358,3302748427024,Le Filet de Poulet et ses Pommes de Terre à la Sarladaise,Fleury Michon,157.0,659.0,14.0,0.9,6.5,1.9,10.0,1.3,0.73,0.292,4.0,1.0,1.55568440755208,0.0642857142857143,Low,Low Sugar,Yes
4359,3329757003506,Poudre sucralose,canderel,1.905,7.9705200000000005,0.479,0.037,0.0,1.4,0.0,2.4,0.3675,0.147,4.0,7.0,0.0,0.07724425887265135,Low,Low Sugar,Yes
4360,3422440006430,Purée de Pois Cassés,Créaline,104.0,435.0,12.0,4.0,2.4,1.2,6.5,4.7,0.63,0.252,3.0,1.0,57.2,0.3333333333333333,Low,Low Sugar,No
4361,3564700024164,Riz basmati,"Marque Repère, Comptoir du Grain",356.0,1485.0,76.0,0.5,0.7,0.1,8.8,1.9,0.01,0.004,4.0,-2.0,0.0,0.006578947368421052,Moderate,Low Sugar,Yes
4362,3564700253434,Biscottes 6 cereales,"Marque Repère, Épi d'Or",412.0,1705.0,60.0,5.6,7.3,0.9,12.0,6.0,1.5,0.6,4.0,10.0,0.0,0.09333333333333332,Moderate,Low Sugar,Yes
4363,5000328347790,Ready Salted Crisps,Walkers,168.0,702.912,17.0,0.1,9.9,0.8,2.1,1.3,0.3675,0.147,3.0,7.0,9.375,0.0058823529411764705,Low,Low Sugar,No
4364,5021016990999,Henderson's Relish,"Hendersons (Sheffield) Ltd,Henderson's",44.0,190.0,7.4,6.3,0.1,0.1,0.7,2.4,1.1,0.44,4.0,6.0,4.27500000000001,0.8513513513513513,Low,Low Sugar,Yes
4365,5054267003378,Blackcurrant Squash,Ribena,18.0,77.0,4.3,4.2,0.0,0.0,0.0,2.4,0.06,0.024,4.0,8.0,32.1,0.9767441860465117,Low,Low Sugar,Yes
4366,6111180000958,Cube de bouillon déshydraté saveur poulet,damti,210.0,878.64,16.0,0.0,15.5,9.0,9.0,10.0,23.5,9.4,4.0,7.0,3.47222222222222,0.0,Low,Low Sugar,Yes
4368,7613036012249,NESQUIK Poudre Cacaotée boîte 500g,"NestléNesquik, Nestlé, Nesquik",386.0,1634.0,78.9,75.1,3.6,1.6,5.1,7.7,0.41,0.164,4.0,9.0,0.0,0.9518377693282635,Moderate,High Sugar,Yes
4369,8000500278802,Nutella,"Ferrero, Nutella",539.0,2252.0,57.5,56.3,30.9,10.6,6.3,2.4,0.107,0.0428,4.0,31.0,13.0,0.9791304347826086,High,High Sugar,Yes
4370,8410261641423,SIMON LIFE,Don Simón,20.0,83.68,4.8,4.8,0.0,0.0,0.1,2.4,0.075,0.03,4.0,8.0,14.4,1.0,Low,Low Sugar,Yes
4371,8410707002313,Maíz dulce,Juver,76.0,317.98400000000004,10.5,5.8,1.7,0.4,2.8,3.7,0.5,0.2,4.0,4.0,0.25,0.5523809523809524,Low,Low Sugar,Yes
4372,8714100766576,Les classiques - Velouté de 9 légumes,Knorr,32.0,134.0,5.6,1.9,0.6,0.3,0.6,0.9,0.67,0.268,4.0,3.0,22.8,0.3392857142857143,Low,Low Sugar,Yes
4373,8722700750185,Chicken stock cube,Knorr,31.5,131.796,2.25,2.25,2.25,1.35,2.25,2.25,4.14,1.656,4.0,7.0,0.0,1.0,Low,Low Sugar,Yes
4374,6111126000424,Raib banan sghir,CHERGUI,76.0,317.98400000000004,13.0,13.0,1.6,0.0,2.5,2.4,0.0,0.0,4.0,12.0,0.0,1.0,Low,Moderate Sugar,Yes
4375,8711200460786,Amora Croq'Vert Cornichons Extra-Fins Bocal 370g,Amora,14.0,59.0,2.2,0.7,0.5,0.1,0.7,2.7,2.1,0.84,4.0,8.0,64.34,0.3181818181818181,Low,Low Sugar,Yes
4376,5000169061046,Baked Beans In Tomato Sauce,Essential Waitrose,179.0,748.936,27.4,8.0,1.0,0.2,16.4,8.4,1.06,0.424,4.0,-5.0,94.7625411184211,0.29197080291970806,Low,Low Sugar,Yes
4377,3564707138628,100% cacao maigre non sucré,Bio Village,330.0,1382.0,15.0,0.5,11.0,6.9,28.0,31.0,0.05,0.02,1.0,7.0,0.0,0.03333333333333333,Moderate,Low Sugar,No
4378,5060198643088,Margherita Sourdough Pizza,Crosta & Mollica,230.0,962.32,30.0,2.5,7.3,3.0,10.0,2.3,1.18,0.472,3.0,5.0,16.615,0.08333333333333333,Low,Low Sugar,No
4379,90162565,Red Bull Energy Drink,Red Bull,46.0,195.0,11.0,11.0,0.0,0.0,0.0,0.0,0.1,0.04,4.0,12.0,0.0,1.0,Low,Moderate Sugar,Yes
4380,3019081241582,Filet de maquereaux grillés nature,Petit Navire,233.0,974.8720000000001,0.0,0.0,17.0,4.5,20.0,2.4,1.0825,0.433,3.0,11.0,0.0,0.0,Low,Low Sugar,No
4381,5059319003931,Special k Red berries imp,Kellogg's,390.0,1652.0,83.0,16.0,1.4,0.3,8.0,6.6,0.73,0.292,3.0,7.0,4.5,0.1927710843373494,Moderate,Moderate Sugar,No
4383,7622201499679,Le Petit Beurre,LU,120.25,503.0,16.0,6.2,5.3,3.4,1.6,0.6,0.4,0.16,4.0,29.0,0.0,0.3875,Low,Low Sugar,Yes
4384,29204892,Super Seeded Cob,M&S Eat Well,326.0,1363.9840000000002,36.4,2.2,12.7,1.1,13.4,6.0,0.9,0.36,4.0,1.0,0.0,0.06043956043956045,Moderate,Low Sugar,Yes
4385,4056489519706,Real Mayonnaise,Batts,686.0,2870.224,3.9,1.0,74.0,5.4,0.8,0.5,1.0425,0.417,4.0,18.0,60.575,0.25641025641025644,High,Low Sugar,Yes
4386,3019089042228,Rilettes de thon,Petit Navire,275.0,1150.6000000000001,1.5,0.4,22.0,1.8,17.0,1.5,0.9,0.36,4.0,2.0,27.0,0.26666666666666666,Low,Low Sugar,Yes
4387,3154230809890,HERTA LE BON PARIS Jambon à l'étouffée sans nitrite x6 -210g,"HERTA, Le Bon Paris",109.2,461.1,0.9,0.0,2.4,1.0,21.0,0.0,1.7,0.68,4.0,7.0,0.0,0.0,Low,Low Sugar,Yes
4388,29310609,Wholegrain Wheat Bisks,Marks & Spencer,359.0,1518.0,67.8,3.0,2.3,0.5,12.7,8.0,0.23,0.092,3.0,-5.0,0.0,0.04424778761061947,Moderate,Low Sugar,No
4389,4056489804673,Oat,"Vemondo, Lidl",103.0,433.0,15.8,7.8,3.8,0.5,0.8,1.5,0.3,0.12,3.0,5.0,0.0,0.49367088607594933,Low,Low Sugar,No
4390,6111246721995,fromage blanc nature,le Berger,225.0,931.0,4.0,4.1,20.0,1.4,6.0,2.4,0.3675,0.147,1.0,7.0,0.0,1.025,Low,Low Sugar,No
4392,1898811,Greek Style Yogurt,Sainsbury's,51.0,213.38400000000001,5.2,5.2,0.5,0.1,6.4,0.5,0.00035,0.00014,1.0,-1.0,0.0,1.0,Low,Low Sugar,No
4394,20472627,Deluxe Really Nutty Muesli,Lidl,383.0,1602.472,61.2,19.1,9.5,1.5,9.4,7.5,0.03,0.012,3.0,2.0,42.0,0.31209150326797386,Moderate,Moderate Sugar,No
4395,20569105,Apple Juice,"Naturis, Solevita, Vitafit",68.0,284.512,15.6,14.8,0.2,0.1,0.2,0.5,0.02,0.008,1.0,7.0,75.0,0.9487179487179488,Low,Moderate Sugar,No
4396,20856090,Maïs doux croquant Bio,Freshona,77.0,322.168,12.6,6.2,1.2,0.2,2.4,3.0,0.7,0.28,3.0,4.0,0.0,0.4920634920634921,Low,Low Sugar,No
4397,3038359004582,Bolognaise,Panzani,82.0,343.0,6.9,5.8,3.7,1.5,4.5,1.5,0.91,0.364,4.0,1.0,106.3,0.8405797101449275,Low,Low Sugar,Yes
4398,3109850018511,Ultra-Concentré Réglisse Anis,Antésite,26.0,111.0,2.7,0.2,0.9,0.5,1.8,0.0,0.03,0.012,4.0,7.0,0.0,0.07407407407407407,Low,Low Sugar,Yes
4399,3175681225107,"Tendres carrés de blé aux aubergine, poivron,  basilic",Céréal bio,191.0,799.144,19.0,3.9,6.0,0.7,14.0,2.5,0.98,0.392,4.0,2.0,36.7,0.20526315789473684,Low,Low Sugar,Yes
4400,3178530407983,Madeleine,Bonne Maman,447.0,1870.248,46.0,26.0,26.0,16.0,6.6,1.2,0.9,0.36,4.0,26.0,0.0,0.5652173913043478,Moderate,High Sugar,Yes
4401,3280241101002,Douceur de brebis nature,Le Petit Basque,132.0,552.288,5.4,3.3,10.0,7.0,4.8,2.4,0.11,0.044,3.0,6.0,0.0,0.611111111111111,Low,Low Sugar,No
4402,3366321051556,St hubert omega 3 255g demi sel,"St Hubert,St Hubert Oméga 3",468.0,1924.0,0.0,0.0,52.0,15.0,0.0,2.4,1.3,0.52,4.0,14.0,30.0,0.0,Moderate,Low Sugar,Yes
4403,3501940369006,Pâte à tartiner bio - 40% noisettes - Chocolat Noir,Bovetti,616.0,2556.0,32.0,30.0,49.0,9.3,9.5,6.0,0.06,0.024,3.0,21.0,41.35,0.9375,High,High Sugar,No
4404,3560070510771,Riz Complet,Carrefour,351.0,1488.0,72.0,0.5,2.8,0.7,7.9,3.9,0.01,0.004,1.0,-1.0,0.0,0.006944444444444444,Moderate,Low Sugar,No
4405,3760020506605,Pâte à tartiner noisettes grillées,"Karéléa, Léa Nature",476.0,1969.0,53.0,8.1,34.0,6.1,5.6,2.8,0.2,0.08,4.0,13.0,10.0,0.15283018867924528,Moderate,Low Sugar,Yes
4406,42023623,Vegan,Vitaquell,635.0,2657.0,0.5,0.5,70.0,20.0,0.0,2.4,0.11,0.044,4.0,10.0,46.56875,1.0,High,Low Sugar,Yes
4407,5000108884231,Snack a Jacks Caramel Rice Cakes,Snack-A-Jacks,387.0,1619.208,86.4,18.8,1.7,0.3,6.1,11.2,0.49,0.196,4.0,6.0,0.0,0.2175925925925926,Moderate,Moderate Sugar,Yes
4408,5000168137605,Jacobs Savours Salt And Black Pepper Bakes,Jacobs,470.0,1966.48,66.7,0.6,17.6,8.1,9.1,4.0,1.2775,0.511,3.0,18.0,0.0,0.008995502248875561,Moderate,Low Sugar,No
4409,5011308000307,Pataks On the Side Lime Pickle,Patak's,187.0,782.408,2.5,2.2,16.9,1.2,2.3,2.4,8.9,3.56,3.0,21.0,78.11875,0.8800000000000001,Low,Low Sugar,No
4410,5021638000434,Divine Rice Traditional,Rachel's organic,205.78394,862.0,28.5,10.4,8.4,3.5,5.1,2.4,0.3,0.12,3.0,4.0,0.0,0.3649122807017544,Low,Moderate Sugar,No
4411,5060088701942,Cocoa Delight Raw Fruit & Nut Bars,Nakd,137.94,577.1409600000001,19.0,15.01,4.902,0.999,2.8994,3.298,0.024985,0.009994,4.0,10.0,94.0,0.79,Low,Moderate Sugar,Yes
4412,7613031514274,NESTLE DESSERT Cacao en Poudre boîte 250g,Nestlé,387.0,1603.0,17.3,0.4,21.0,13.0,18.1,28.0,0.35,0.14,1.0,7.0,0.0,0.023121387283236993,Moderate,Low Sugar,No
4413,7622210103963,Original Pack Familiar,Philadelphia,280.0,1171.52,2.7,2.7,27.5,19.5,4.5,0.1,1.05,0.42,4.0,17.0,11.975,1.0,Low,Low Sugar,Yes
4414,80809180,deko Nutella small,Ferrero,539.0,2252.0,57.5,56.3,30.9,10.6,6.3,0.0,0.107,0.0428,4.0,31.0,13.0,0.9791304347826086,High,High Sugar,Yes
4415,8410376014051,Mini cracker!,Gullón,465.0,1945.5600000000002,64.0,9.0,20.0,2.0,6.0,2.3,2.5,1.0,4.0,20.0,0.0,0.140625,Moderate,Low Sugar,Yes
4416,8711000523124,Café,"Jacobs Douwe Egberts, Maxwell House",3.0,12.552,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,1.0,7.0,0.0,0.0,Low,Low Sugar,No
4417,5010338404383,Fish sauce imp,Blue Dragon,73.0,305.432,11.6,9.1,0.5,0.1,6.6,0.0,26.7,10.68,3.0,22.0,0.0,0.7844827586206896,Low,Low Sugar,No
4418,5000119410696,Brown Rice,Tesco,324.0,1355.616,65.3,0.2,2.8,0.6,7.4,4.3,0.03,0.012,1.0,1.0,0.0,0.0030627871362940277,Moderate,Low Sugar,No
4419,6111184000923,Sauce Piquante,Star,0.0,0.0,9.1,0.0,4.0,0.0,3.1,2.4,0.0,0.0,4.0,-1.0,0.0,0.0,Low,Low Sugar,Yes
4420,6111126002909,Raïb,Chergui,76.0,317.98400000000004,13.0,1.0,1.6,1.0,1.0,2.4,1.0,0.4,4.0,7.0,0.0,0.07692307692307693,Low,Low Sugar,Yes
4421,5000112638745,Coca cola zero sugar,Coca-Cola,1.0,4.184,0.0,4.1,0.0,1.4,0.0,2.4,0.07,0.028,4.0,4.0,0.0,0.0,Low,Low Sugar,Yes
4422,3580281080115,Muesli Crunchy 4 noix,muesly,458.0,1921.0,61.0,18.0,18.0,1.8,10.0,6.1,0.06,0.024,4.0,8.0,11.0,0.29508196721311475,Moderate,Moderate Sugar,Yes
4423,3175681257511,Biscuits à l'orange Orange et au graines de Chia,"Gerblé, Gerblé Bio",452.0,1896.0,65.0,18.0,16.0,1.5,8.6,6.6,0.22,0.088,4.0,8.0,0.9,0.27692307692307694,Moderate,Moderate Sugar,Yes
4425,3023290035801,Le Petit Pot de Crème au Chocolat,"Nestlé, La Laitière",179.0,754.0,17.6,17.0,9.9,5.8,4.7,1.6,0.1,0.04,4.0,11.0,0.0,0.9659090909090908,Low,Moderate Sugar,Yes
4426,4056489109754,Crème dessert chocolat,"Envia, Milbona",117.0,493.0,18.0,15.8,3.4,2.2,3.1,1.0,0.1,0.04,4.0,6.0,0.0,0.8777777777777778,Low,Moderate Sugar,Yes
4427,1465204,Buttersoft,By sainsbury's,72.0,301.248,0.5,0.5,7.9,3.5,0.0,0.5,0.0975,0.039,2.0,19.0,20.0,1.0,Low,Low Sugar,No
4428,5000119809902,Pure Vegetable Oil,Tesco,134.0,560.6560000000001,0.0,4.1,14.0,1.1,0.0,2.4,0.3675,0.147,2.0,7.0,100.0,0.0,Low,Low Sugar,No
4429,8480000038401,Guacamole,Hacendado,149.0,613.0,2.0,1.4,13.7,3.8,1.9,5.0,1.5,0.6,4.0,4.0,96.6840277777778,0.7,Low,Low Sugar,Yes
4430,5057753940317,Tesco Oat Drink,Tesco,47.0,199.0,7.6,4.2,1.5,0.2,0.5,0.7,0.1,0.04,4.0,6.0,4.5,0.5526315789473685,Low,Low Sugar,Yes
4431,4088600247564,Black Beans in Water,Four Seasons,106.0,443.504,14.0,0.5,0.8,0.2,7.1,7.7,0.02,0.008,4.0,-6.0,80.0,0.03571428571428571,Low,Low Sugar,Yes
4432,8720608007417,Yellow Label,Lipton,4.0,17.0,0.5,0.5,0.5,0.1,0.5,0.0,0.01,0.004,1.0,7.0,0.0,1.0,Low,Low Sugar,No
4433,4056489594291,Green Lentils in Water,Freshona,102.0,430.0,15.1,0.3,0.5,0.1,7.2,4.0,0.01,0.004,4.0,-3.0,66.6666666666667,0.019867549668874173,Low,Low Sugar,Yes
4434,6111032009931,raib salim vani,salim,74.0,309.616,8.8,8.8,3.0,2.0,3.0,2.4,0.225,0.09,4.0,10.0,0.0,1.0,Low,Low Sugar,Yes
4436,6111032009887,Jamila Maxi,Raibi Jamila,70.0,292.88,11.4,7.0,1.3,0.9,1.6,2.4,0.3675,0.147,4.0,7.0,0.0,0.6140350877192983,Low,Low Sugar,Yes
4437,20046248,Sardines à la tomate,Nixe,194.0,811.696,2.7,1.9,13.4,4.0,15.9,2.4,0.9825,0.393,3.0,3.0,22.6666666666667,0.7037037037037036,Low,Low Sugar,No
4438,20158132,"Fromage blanc 3,2% MG",Envia,75.0,316.0,3.9,3.9,3.2,2.0,7.7,0.0,0.11,0.044,3.0,-1.0,0.0,1.0,Low,Low Sugar,No
4439,3045140105106,Chocolat au lait du Pays Alpin,"Kraft Foods, Milka",539.0,2255.176,57.0,55.0,31.0,19.0,6.5,2.3,0.275,0.11,4.0,32.0,0.1953125,0.9649122807017544,High,High Sugar,Yes
4440,3228020190427,Camembert lepetit 250g 21%,Lepetit,265.0,1100.0,0.5,0.5,21.0,14.0,19.0,2.4,1.3,0.52,3.0,12.0,0.0,1.0,Low,Low Sugar,No
4441,3256220512985,Tablette de chocolat noir 100g,"U, U Bio",572.0,2374.0,35.0,26.0,41.0,28.0,8.8,14.0,0.03,0.012,4.0,19.0,0.0,0.7428571428571429,High,High Sugar,Yes
4442,3256540001756,Brioche tranchée,Brioche Pasquier,362.0,1522.0,52.0,11.0,13.0,4.3,8.5,1.5,1.0,0.4,4.0,15.0,4.1171875,0.21153846153846154,Moderate,Moderate Sugar,Yes
4443,3336590083787,Huile vierge extra biologique,Cauvin,900.0,3700.0,0.0,0.0,100.0,17.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,High,Low Sugar,No
4444,3412290015997,Paysan Breton - Beurre moulé demi-sel,Paysan Breton,726.0,2984.0,0.6,0.6,80.0,57.0,0.8,2.4,2.0,0.8,2.0,29.0,0.0,1.0,High,Low Sugar,No
4445,3564700009666,Biscottes sans sel x 34,"Marque Repère, Epi d'Or",405.0,1694.0,74.8,7.3,5.1,0.6,11.9,3.9,0.0,0.0,4.0,2.0,0.0,0.09759358288770054,Moderate,Low Sugar,Yes
4446,3760020508371,Tartines craquantes Multicéréales,"JARDIN BIO ETIC, Jardin bio",378.0,1603.0,79.0,0.6,1.6,0.5,9.6,4.7,0.5,0.2,3.0,1.0,0.0,0.007594936708860759,Moderate,Low Sugar,No
4447,5000328741901,Chilli Heatwave Tortilla Chips,Doritos,497.0,2076.0,59.3,6.1,24.9,3.0,6.1,5.6,1.35,0.54,4.0,12.0,3.4375,0.10286677908937605,Moderate,Low Sugar,Yes
4448,5052003557963,Tesco Three Bean Chilli Soup,Tesco,43.0,179.0,6.0,2.6,0.1,0.0,3.3,2.2,0.4,0.16,3.0,-5.0,86.2551194932726,0.43333333333333335,Low,Low Sugar,No
4449,6111126003869,Daya fraise sghira,Chergui,80.0,334.72,15.0,15.0,1.2,0.0,2.3,2.4,0.0,0.0,4.0,14.0,0.0,1.0,Low,Moderate Sugar,Yes
4450,6111126004521,Daya mini ananas,Chergui,74.0,309.616,14.0,14.0,1.1,1.1,2.1,0.0,0.0,0.0,3.0,15.0,7.0,1.0,Low,Moderate Sugar,No
4453,8712566432127,Bouillon Légumes,Knorr,336.0,1405.824,40.0,15.0,17.0,12.0,4.6,0.5,31.0,12.4,4.0,-3.0,11.0100446428571,0.375,Moderate,Moderate Sugar,Yes
4454,20635732,Worcestershire Sauce,Batts,17.0,71.128,4.0,3.3,0.1,0.1,0.2,0.5,0.255,0.102,3.0,14.0,1.06406250000001,0.825,Low,Low Sugar,No
4455,5018374888341,6 Free Range Eggs,Tesco,131.0,547.0,0.1,0.1,9.0,2.5,12.6,0.0,0.39,0.156,1.0,-1.0,0.0,1.0,Low,Low Sugar,No
4456,5010102115491,Double Concentrate Apple & Blackcurrant Squash No Added Sugar,Robinsons,18.0,75.312,2.4000000953674,2.4000000953674,0.0,0.0,0.0,0.0,0.25,0.1,4.0,8.0,20.0,1.0,Low,Low Sugar,Yes
4458,7613036569927,cafe de cereales,Nestlé,359.0,1522.0,80.9,5.2,0.0,0.0,5.0,7.7,0.18,0.072,1.0,1.0,20.0,0.06427688504326329,Moderate,Low Sugar,No
4459,5053827175654,Coco pops,Kellogg's,386.0,1636.0,84.0,17.0,1.9,0.9,6.3,3.8,0.65,0.26,4.0,10.0,0.0,0.20238095238095238,Moderate,Moderate Sugar,Yes
4460,5000187130908,Cheesestrings,Strings and Things,61.0,255.22400000000002,0.5,0.2,4.5,2.8,4.6,2.4,0.0009,0.00036,3.0,6.0,0.0,0.4,Low,Low Sugar,No
4461,4088600058313,Black Pepper Savoury Crackers,"Aldi, Specially Selected",499.0,2087.8160000000003,62.5,2.5,23.4,1.8,8.2,2.4,1.3,0.52,4.0,13.0,0.0,0.04,Moderate,Low Sugar,Yes
